Analyte ID	Analyte Name	State Code	PWSID	System Name	System Type	Retail Population Served	Adjusted Total Population Served	Source Water Type	Water Facility ID	Water Facility Type	Sampling Point ID	Sampling Point Type	Source Type Code	Sample Type Code	Laboratory Assigned ID	Six Year ID	Sample ID	Sample Collection Date	Detection Limit Value	Detection Limit Unit	Detection Limit Code	Detect	Value	Unit	Presence Indicator Code	Residual Field Free Chlorine mg/L	Residual Field Total Chlorine mg/L
1094	ASBESTOS	ID	ID5070022 	HAILEY WATER AND SEWER	C   	8000	8000	GW 	164767	DS	167242	  		RT	I782801	6855526	398961	2007-11-26 00:00:00.000	0.010000000	MFL	MDL	0					
1094	ASBESTOS	ID	ID1400030 	KINGSTON WATER DIST 1	C   	800	800	GW 	162215	DS	164225	DS		RT	I2007060413	6900265	376335	2007-06-25 00:00:00.000	0.010000000	MFL	MDL	0					
1094	ASBESTOS	ID	ID1050011 	FERNWOOD WATER DIST	C   	485	485	SW 	162212	DS	163437	DS		RT	I081113039001	7093310	433451	2008-11-13 00:00:00.000	0.010000000	MFL	MDL	0					
1094	ASBESTOS	AZ	AZ0410409 	LA CASITA WATER COMPANY 1	C   	207	207	GW 	142521	SS	133891	EP	FN	RT	2007-04156-1	4986004	1335418	2007-05-17 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0407908 	VAN RIJN DAIRY	NTNC	30	30	GW 	144340	SS	134049	EP	FN	RT	2009-01529-1	4990000	1427328	2009-03-04 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0402014 	DOUGLAS CITY OF	C   	13300	13300	GW 	146683	SS	129355	EP	FN	RT	1030127-01	5004520	1516414	2011-03-01 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	ID	ID2290008 	DEARY CITY OF	C   	529	529	GW 	163390	DS	164685	  		RT	A070726027-001	6980822	383993	2007-07-26 00:00:00.000	0.010000000	MFL	MDL	0					
1094	ASBESTOS	AZ	AZ0404032 	PAYSON TOWN OF	C   	17682	20158	GW 	137487	SS	129970	EP	FN	RT	2701240246A	5029224	1318973	2007-01-23 00:00:00.000	0.010000000	MFL	MDL	0					
1094	ASBESTOS	AZ	AZ0413045 	PRESCOTT CITY OF	C   	43217	43217	GW 	137592	SS	132766	EP	FN	RT	9010373-01	5015700	1416939	2009-01-06 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0413164 	COTTONWOOD MUNICIPAL WATER VSF1	C   	2280	2280	GW 	137980	SS	133027	EP	FN	RT	2802200068S2	5069115	1372977	2008-02-19 00:00:00.000	0.300000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0407025 	PHOENIX CITY OF	C   	1533582	1533582	SW 	138043	SS	130341	EP	FN	RT	201102020245A	5038148	1518083	2011-02-02 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0413303 	INSCRIPTION CANYON RANCH SYSTEM	C   	560	560	GW 	138127	SS	133139	EP	FN	RT	201103080184AB	5037896	1516521	2011-03-07 00:00:00.000	0.010000000	MFL	MDL	0					
1094	ASBESTOS	AZ	AZ0407073 	TIERRA BUENA WATER COMPANY	C   	310	310	GW 	138199	SS	130450	EP	FN	RT	201102110093AA	5077322	1513687	2011-02-10 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0407093 	GLENDALE CITY OF	C   	180000	180051	SW 	138487	SS	130577	EP	FN	RT	201102010193A	5077169	1517725	2011-02-01 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0407090 	CHANDLER CITY OF	C   	300000	300000	SW 	142631	SS	130524	EP	FN	RT	2006-00230-01	5063701	1262688	2006-01-11 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0402120 	SULGER WATER COMPANY 2	C   	50	50	GW 	143781	SS	133953	EP	FN	RT	2007-01323-1	5022606	1318698	2007-02-11 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0413277 	DESERT STAR COMMUNITY SCHOOL	NTNC	125	125	GW 	144411	SS	134064	EP	FN	RT	201002170054AD	5035823	1469405	2010-02-16 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0410004 	COMMUNITY WC OF GREEN VALLEY	C   	16700	16700	GW 	144668	SS	131702	EP	FN	RT	7091353-04	5069063	1371448	2007-09-24 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0407128 	AZ WATER CO - WHITE TANKS	C   	6205	6205	GW 	144679	SS	130766	EP	FN	RT	2009-01250-1	5049911	1430948	2009-02-20 00:00:00.000	0.700000000	MFL	MRL	0					
1094	ASBESTOS	ID	ID5240028 	WENDELL CITY OF	C   	3000	3000	GW 	162564	DS	167489	  		RT	I782611	6937300	398995	2007-11-26 00:00:00.000	0.010000000	MFL	MDL	0					
1094	ASBESTOS	IN	IN2200505 	BRENNEMAN MEMORIAL CHURCH	NTNC	780	780	GW 	205907	DS	199376	DS	FN	RT	10082748ASBESTOS	11521399	888499	2010-08-18 00:00:00.000	0.000000000		MRL	1	0.160000000	MFL      			
1094	ASBESTOS	AZ	AZ0412011 	LIBERTY WATER RIO RICO	C   	20000	20000	GW 	137337	SS	132571	EP	FN	RT	2010-002124-1	5097090	1492321	2010-03-18 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0409003 	AZ WATER CO LAKESIDE	C   	10882	10882	GW 	137553	SS	131468	EP	FN	RT	9060190-01A	5001846	1436400	2009-06-01 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0413028 	CUP OF GOLD WATER CO	C   	30	30	GW 	137577	SS	132713	EP	FN	RT	201104200152AB	5156686	1521169	2011-04-21 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0405005 	SAFFORD CITY OF	C   	18900	18900	GW 	137819	SS	130219	EP	FN	RT	2007-05098-I	5091090	1385141	2008-06-03 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0407025 	PHOENIX CITY OF	C   	1533582	1533582	SW 	138038	SS	130336	EP	FN	RT	201104270407A	5038747	1525329	2011-04-27 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0410112 	TUCSON CITY OF	C   	675686	677786	GW 	138211	SS	131864	EP	FN	RT	201105250029AA	5077888	1526544	2011-05-24 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0410112 	TUCSON CITY OF	C   	675686	677786	GW 	138237	SS	131887	EP	FN	RT	201105250029AE	5156219	1526548	2011-05-24 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0401004 	EAGAR TOWN OF	C   	4500	4500	GW 	138312	SS	129131	EP	FN	RT	201110040024AC	5088566	1544050	2011-10-03 00:00:00.000	0.660000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0410112 	TUCSON CITY OF	C   	675686	677786	GW 	138401	SS	131925	EP	FN	RT	201107210099AA	5117447	1541127	2011-07-20 00:00:00.000	0.400000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0410112 	TUCSON CITY OF	C   	675686	677786	GW 	138526	SS	131941	EP	FN	RT	201105250029AD	5077887	1526547	2011-05-24 00:00:00.000	0.200000000	MFL	MRL	0					
1094	ASBESTOS	AZ	AZ0410112 	TUCSON CITY OF	C   	675686	677786	GW 	138542	SS	131955	EP	FN	RT	201106020118AE	5155802	1529796	2011-06-01 00:00:00.000	0.400000000	MFL	MRL	0					
